source,url,title,body,user
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very useful and efficient,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",Anita Kuruvilla
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good👍,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Raju Raju
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Egg biryani,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Linga Srinivas
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,❤️ nice,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Vijay Jaiswal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Nice,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",Sachin Kiccha
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,My mouth get watery 🤤 seeing delicious dishes and get i mad 🫤if I can't buy those delicious dishes because of my poor financial conditions 😅,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",HImanshu Pal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best food and good quality 😄,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",krapal singh
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Dipti Sharma
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very good app have more options and discount,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",Pankaj Prasad
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Success,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Siva Nithees
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,The app is great but I love this app,Yay! We are super happy to know that you are enjoying our services. Thanks for taking the time out and sharing the review with a perfect star rating. Keep Ordering. 🙂,lalon Islam
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,"Nice app ..pl mention the food quantity mean 400,ml box ..700ml box..",We are happy to hear such positive feedback. 🙂,Rakesh Khanna
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Great app. User experience is good. Swiggy comes with many offers. Price is little higher than compared to restaurants actual price. One lite plan is better to opt for even for 1 or 2 orders per week.,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Gautham Sundar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Fast delivery tasty food😘😘🤗🤗 I like this app💗💗💞💞,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",Yuvraj_singh Dewda
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Thank you so much swiggy for saving the day 💞Your instamart saved me today🎉 Really got so compelled to rate you guys by such brilliantly fast and smooth services❤️A big thanks from me.,"Hey, thank you for the ratings. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Armesha Sharma
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Fast,"Hey there, we are thankful to you for your review! We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",paramasivam natarajan
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,best services and fast delivery 👍,"Hey there, glad that we have stood up to your expectations. Thank you for the positive review and the perfect star rating. Keep Swiggying. 🙂",Akash Mourya
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Excellent 👌,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,abhijit saikia
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good Tasty food..,We are happy to hear such positive feedback. 🙂,Sri Harsha
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Osmm,"Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Sohil Malik
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very helpful,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Kajal Jaiswal
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Sarita Choudhary
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Excellent 👌👍,"Hi there, thank you for your patronage and the perfect rating. We will strive to provide consistent seamless ordering experiences. Keep Swiggying!",vethaviradhan s
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Perfect,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",RAJA
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Vivek Malankiya
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Goood app,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Aliyah Aziz
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good discount and low prices,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Shubham Kaushik
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Super services,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",Satish Kailasakoti
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,"the sole I prefer Swiggy over Zomato, is because of its overall UI/UX. kudos to Sapta and the entire Design team!","Hey, thank you for your kind review. We hope to keep on giving you a consistent service every time. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Shubhro Jyoti Dey
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good food,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",Moumita Ganguly
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,👍👍👍👍👍👍👍👍👍👍,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Chaitanya Toraskar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Sometimes the delivery will be late but rest of the time it's ok,"Hey there, thank you for the valuable feedback. We request you to let us know more about your experience by writing an email to swiggysocial@swiggy.in so we can make our services better.",Kavi Aarthi
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,VERY VERY USEFUL TO ME,"Hey, thanks for the rating! This motivates us to keep serving you better with every order.",Srikrishna Kakani
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Very good app,"Hey there, thank you for the perfect ratings. We appreciate your efforts in contributing to our improvements.",Lucky Deepak
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,nice 👍,Hey there! Such positive reviews motivate us to strive hard to provide you a much better experience. Happy ordering. 🙂,Pawan Jamadhar
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Best app ever!!!,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Cherry Blossom
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,good,"Hey, we are glad to have patrons like you and will strive towards providing better services to keep such reviews coming our way. Keep ordering.",Hajira Nazima
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,"Hey there, nothing delights us more than hearing this. We are happy that you had a great experience. Keep Swiggying. 🙂",jovita boniface
google play store,https://play.google.com/store/apps/details?id=in.swiggy.android,Good,Hey there! It's a bliss to see that our service brought a smile to your face. We'll endeavor to keep it up. Keep Swiggying. 🙂,Josmy George
