Heading,Content,Category
Docks and Hubs,,
External Drives and Enclosures,,
Memory,,
How to Use New WhatsApp Text Formatting Options,,
120Hz ProMotion,,
OLED Display,,
Foldable iPad Mini,,
Post-Quantum Cryptography,,
,"Today we're tracking a new sale at OWC with notable discounts on Mac accessories including Thunderbolt docks, USB-C hubs, external drives and enclosures, internal memory upgrade kits for Mac, and more. Most products are in stock and ready to ship out today, and OWC offers free shipping on orders $149.00 and over.",
,"Note: MacRumors is an affiliate partner with OWC. When you click a link and make a purchase, we may receive a small payment, which helps us keep the site running.",
,"Highlights of the sale include a collection of Thunderbolt docks for up to $100 off. These docks allow you to easily connect a wide array of peripherals to your Mac, including two 4K displays or one 5K display with the 14-Port Thunderbolt 3 Dock.",
,"

Docks, Drives, and More
OWC Mac Accessory Sale
",
,"All of the devices listed below are in new condition at OWC, although the retailer does provide various item condition options for anyone who might want to save money by purchasing open box items. Be sure to visit OWC's sale landing page to browse the full sale, which also features deals on cables, Mac accessories, keyboards, and headphones.
",
, Keep up with all of this week's best discounts on Apple products and related accessories in our dedicated Apple Deals roundup.,
,"Apple is now deciding on the design of its first foldable device as work on the project ramps up, DigiTimes reports.",
,"Citing Taiwanese supply chain sources in a paywalled report, DigiTimes claims that Apple has been developing its first foldable product for at least five years. Corroborating previous rumors, the publication claims that the foldable is set to be a ""larger device"" rather than an iPhone, instead embodying a tablet or notebook. Design efforts on the device are now said to be converging ahead of plans for mass production.",
,"Since hinge mechanisms for foldable devices have become increasingly advanced in recent years, the main problem for Apple's foldable is said to be developing a panel that meets its quality demands. The report adds that Apple's rumored suspension of Samsung foldable display panel development and internal reorganization to move Vision Pro engineers to the foldable project are not contradictory moves, since the company is overwhelmingly prioritizing quality.",
,"The report clarified that Apple has not suspended work on foldable devices, with the company allegedly now possessing multiple departments responsible for different foldable product lines. Apple's first foldable device will not launch until 2025 at the earliest.",
,"WhatsApp has added new text formatting options to the chat platform, enabling users to message each other everything from grocery lists to step-by-step instructions in mid-conversation. ",
,"Following Wednesday's update, WhatsApp users can now use bulleted and numbered lists, block quotes, and inline code to communicate more effectively. ",
,"The new formatting options join the existing bold, italic, strikethrough, and monospaced formats that have been available to WhatsApp users for a while now.
",
,All of WhatsApp's text formatting options (Image: WhatsApp),
,"Last month, WhatsApp introduced a custom sticker creation tool for iPhone users running iOS 17 or later. In a future update, WhatsApp also plans to add passkey support, allowing iPhone users to sign in to the app with Face ID, Touch ID, or their device's passcode.",
,"Apple today announced plans to introduce an Apple Immersive Video that features the best of the 2023 MLS Cup Playoffs. Apple says that this will be the first-ever sports film captured in Apple Immersive Video, and it will be viewable on the Vision Pro headset.",
,"According to Apple, the MLS Playoffs were recorded in 8K 3D with a 180-degree field of view and Spatial Audio.
",
,"Coming soon, all Apple Vision Pro users can experience the best of the 2023 MLS Cup Playoffs with the first-ever sports film captured in Apple Immersive Video. Viewers will feel every heart-pounding moment in 8K 3D with a 180-degree field of view and Spatial Audio that transports them to each match.",
,"The MLS Apple Immersive Video will be coming in the near future, and its upcoming launch was included in an announcement about the kickoff of the 2024 MLS season.",
,"MLS Season Pass subscribers can watch Inter Miami CF and Real Salt Lake tonight at 8:00 p.m. Eastern Time, with a special 90-minute version of MLS Countdown premiering at 6:30 p.m. Eastern Time.",
,MLS Season Pass is priced at $14.99 per month during the season or $99. Apple TV+ subscribers can get a discounted price of $12.99 per month or $79 for the season.,
,"PlayStation account owners will soon be able to start using a passkey as an alternative to a password when logging into a PlayStation account on the web, in an app, or on a PlayStation device.",
,"Passkey integration is set to be introduced at some point today, and users will be able to log in and authenticate their accounts with Face ID, Touch ID, or a device passcode on an iPhone.",
,"Passkeys are considered more convenient and secure than a traditional password, with sign-ins streamlined through biometric authentication. Passkeys are resistant to online attacks such as phishing because there's no password to steal and no one-time SMS code that can be intercepted.",
,"Apple has supported passkeys since 2022, and passkeys are available on iOS 16 and later, iPadOS 16 and later, and macOS Ventura and later.",
,"Many companies have been implementing support for passkeys, including Twitter, Google, PayPal, Best Buy, Microsoft, and eBay.",
